----------
Target: 1496673325239,0,0.6,15
2,1496673341066,0.1002251,0.481082,17.31331
2,1496673341077,0.1046332,0.4931962,17.31808
2,1496673341088,0.1090418,0.5040982,17.32285
2,1496673341099,0.1134504,0.5137892,17.32762
2,1496673341110,0.117859,0.522269,17.33239
2,1496673341121,0.1222676,0.5295377,17.33716
2,1496673341133,0.1266761,0.5355953,17.34193
2,1496673341144,0.1310847,0.5404418,17.3467
2,1496673341155,0.1354933,0.5440771,17.35147
2,1496673341166,0.1399018,0.5465013,17.35624
2,1496673341177,0.1443104,0.5477145,17.36101
2,1496673341188,0.148719,0.5477165,17.36578
2,1496673341200,0.1531276,0.5465074,17.37055
2,1496673341211,0.1575361,0.5440872,17.37532
2,1496673341222,0.1619447,0.5404559,17.38009
2,1496673341233,0.1663533,0.5356135,17.38486
2,1496673341244,0.1707618,0.52956,17.38963
2,1496673341256,0.1751704,0.5222954,17.3944
2,1496673341267,0.179579,0.5138197,17.39917
2,1496673341278,0.1839875,0.5041329,17.40394
2,1496673341289,0.1883961,0.4932349,17.40871
Target hit: True
Target near hit: True
----------
Target: 1496673344315,0,0.65,15.17604
3,1496673346046,-0.1832558,2.320961,0.1091365
3,1496673346057,-0.1842655,2.338807,0.1763247
3,1496673346069,-0.1852751,2.355442,0.243513
3,1496673346080,-0.1862848,2.370866,0.3107012
3,1496673346091,-0.1872944,2.385078,0.3778894
3,1496673346102,-0.1883041,2.39808,0.4450777
3,1496673346113,-0.1893137,2.40987,0.5122659
3,1496673346124,-0.1903233,2.420449,0.5794541
3,1496673346136,-0.191333,2.429817,0.6466423
3,1496673346147,-0.1923426,2.437974,0.7138305
3,1496673346158,-0.1933523,2.44492,0.7810187
3,1496673346169,-0.1943619,2.450655,0.8482069
3,1496673346180,-0.1953716,2.455179,0.9153951
3,1496673346191,-0.1963812,2.458491,0.9825833
3,1496673346202,-0.1973908,2.460593,1.049772
3,1496673346214,-0.1984005,2.461483,1.11696
3,1496673346225,-0.1994101,2.461162,1.184148
3,1496673346236,-0.2004198,2.45963,1.251336
3,1496673346247,-0.2014294,2.456887,1.318525
